species	brain_size_max	body_mass_max
Cypholoba_tetrastigma	NA	0.000132
Cypholoba_trilunata	NA	0.000213
Cyphomyrmex_cornutus	0.000000029	0.00000039
Cyphomyrmex_longiscapus	0.000000028	0.000000388
Cyphomyrmex_muelleri	0.000000033	0.000000532
Cyphomyrmex_sp.	0.00000003	0.00000041
Cystophora_cristata	0.455	NA
Dacelo_leachii	0.00438228	0.31
Dacelo_novaeguineae	0.00446516	0.281
Dactylonax_palpator	0.00715876	0.474
Dactylonax_tatei	0.0046102	0.252
Dactylonax_trivirgata	0.00603988	0.506
Damaliscus_pygargus	0.2546	62.5
Damon_annulatipes	NA	0.00064
Daphoenositta_chrysoptera	0.00063196	0.0118
Daption_capense	0.00520072	0.44
Dasycercus_cristicauda	0.00128464	0.07
Dasyornis_brachypterus	0.0015022	0.045
Dasyornis_broadbenti	0.00194768	0.074
Dasyprocta_azarae	NA	3.849
Dasyprocta_leporina	NA	2.687
Dasyprocta_punctata	0.048	4.559
Dasypus_novemcinctus	0.0095	3.401
Dasyuroides_byrnei	0.001554	0.0984
Dasyurus_albopunctatus	0.00392644	0.403
Dasyurus_geoffroii	0.00535612	0.76
Dasyurus_hallucatus	0.00350168	0.513
Dasyurus_maculatus	0.00974876	2.599
Dasyurus_spartacus	0.0054908	0.487
Dasyurus_viverrinus	0.00552188	0.813
Daubentonia_madagascariensis	0.04515	2.8
Deilephila_elpenor	0.0000003983160292412	NA
Deinopis_spinosa	0.000000045013875732	NA
Dendrocitta_cinerascense	0.0028	NA
Dendrocitta_formosae	0.0024	0.105
Dendrocitta_occipitalis	0.0027	NA
Dendrocoris_contaminatus	NA	0.000011
Dendrocygna_arcuata	0.00467236	0.8
Dendrocygna_eytoni	0.00472416	1
Dendrocygna_viduata	0.0045584	NA
Dendrolagus_bennettianus	0.019166	2.078
Dendrolagus_dorianus	0.0334628	7.879
Dendrolagus_goodfellowi	0.0294224	5.968
Dendrolagus_inustus	0.0311836	10.119
Dendrolagus_lumholtzi	0.0271432	4.366
Dendrolagus_matschiei	0.02849	4.16
Dendrolagus_scottae	0.0302512	8.666
Dendrolagus_spadix	0.029526	4.947
Dendrolagus_ursinus	0.0272468	5.009
Dendroperdix_sephaena	0.0015	0.208
Dermacentor_andersoni	NA	0.0000207
Dermacentor_variabilis	NA	0.0000056
Desmana_moschata	0.004	0.44
Desmodus_rotundus	0.000936	0.028
Diaemus_rotundus	0.00086	0.03
Diaemus_youngi	0.00097	0.0346
Dicaeum_hirundinaceum	0.00038332	0.009
Diceroprocta_apache	NA	0.000622
Dicrostonyx_groenlandicus	0.0008983	0.0623
Dicrurus_bracteatus	0.0018648	0.0826
Didelphis_marsupialis	0.0065786	2.842
Didelphis_virginiana	0.00696192	2.797
Diomedea_exulans	0.029267	8.59
Dirphea_agis	NA	0.000197
Distoechurus_pennatus	0.00097384	0.0454
Dolichoderus_sp.	0.000000138	0.0000045825
Dolichotis_patagonum	0.0305	NA
Dolichotis_salinicola	NA	1.613
Dorcopsis_atrata	0.0173012	6.333
Dorcopsis_hageni	0.02331	6.43
