#The list of species
#species: Scientific name of the species.
#NCBI.taxid: taxID from the NCBI.
#assembly_accession: Assembly accession used.
#clade: Clade corresponding to the species, it can be the class for vertebrates or the order for insects.
#nb_rnaseq: Number of RNA-seq studied.
species	NCBI.taxid	assembly_accession	clade	nb_rnaseq
Scomber_japonicus	13676	GCF_027409825.1	Teleostei	0
Scophthalmus_maximus	52904	GCF_022379125.1	Teleostei	50
Scopus_umbretta	33581	GCA_013400535.1	Aves	0
Scortum_barcoo	214431	GCA_023238725.1	Teleostei	0
Scyliorhinus_canicula	7830	GCF_902713615.1	Chondrichthyes	49
Scyliorhinus_torazame	75743	GCA_003427355.1	Chondrichthyes	0
Scytalopus_superciliaris	312124	GCA_013400415.1	Aves	0
Sebastes_umbrosus	72105	GCF_015220745.1	Teleostei	0
Seison_nebaliae	104778	GCA_023231475.1	Invertebrates	0
Semnornis_frantzii	91796	GCA_013399775.1	Aves	0
Senna_tora	362788	GCA_014851425.1	Embryophyta	39
Sepia_pharaonis	158019	GCA_903632075.3	Mollusca	0
Serilophus_lunatus	239386	GCA_013399895.1	Aves	0
Serinus_canaria	9135	GCF_022539315.1	Aves	0
Seriola_aureovittata	2871759	GCF_021018895.1	Teleostei	0
Seriola_dumerili	41447	GCF_002260705.1	Teleostei	0
Seriola_lalandi	302047	GCF_002814215.1	Teleostei	50
Setaria_viridis	4556	GCF_005286985.1	Embryophyta	50
Silurus_asotus	30991	GCA_024362625.1	Teleostei	0
Silurus_meridionalis	175797	GCF_014805685.1	Teleostei	0
Simochromis_diagramma	43689	GCF_900408965.1	Teleostei	43
Sinapis_alba	3728	GCA_012274485.2	Embryophyta	13
Siniperca_chuatsi	119488	GCF_020085105.1	Teleostei	0
Sinocyclocheilus_anshuiensis	1608454	GCF_001515605.1	Teleostei	4
Sinocyclocheilus_grahami	75366	GCF_001515645.1	Teleostei	0
Sinocyclocheilus_rhinocerous	307959	GCF_001515625.1	Teleostei	4
Sinosuthora_webbiana	337173	GCA_013397395.1	Aves	0
Sipha_flava	143950	GCF_003268045.1	Hemiptera	0
Sitodiplosis_mosellana	263140	GCF_009176505.1	Diptera	0
Sitophilus_oryzae	7048	GCF_002938485.1	Coleoptera	37
Sitta_europaea	50251	GCA_013400255.1	Aves	0
Smithornis_capensis	363769	GCA_013396465.1	Aves	0
Soboliphyme_baturini	241478	GCA_900618415.1	Nematoda	0
Solanum_chilense	4083	GCA_006013705.1	Embryophyta	50
Solanum_tuberosum	4113	GCF_000226075.1	Embryophyta	50
Solea_senegalensis	28829	GCF_019176455.1	Teleostei	0
Solenopsis_invicta	13686	GCF_000188075.2	Hymenoptera	23
Sorex_araneus	42254	GCF_027595985.1	Mammalia	0
Sorex_cinereus	36803	GCF_029834395.1	Mammalia	0
Sorghum_bicolor	4558	GCF_000003195.3	Embryophyta	50
Sparganum_proliferum	64606	GCA_902702955.1	Platyhelminthes	0
Sparus_aurata	8175	GCF_900880675.1	Teleostei	0
Spea_bombifrons	233779	GCF_027358695.1	Amphibia	0
Sphaeramia_orbicularis	375764	GCF_902148855.1	Teleostei	0
Sphaerodactylus_townsendi	933632	GCF_021028975.2	Lepidosauria	0
Spheniscus_demersus	92683	GCA_010077935.1	Aves	0
Spheniscus_magellanicus	37081	GCA_010076225.1	Aves	0
Spirodela_intermedia	51605	GCA_902729315.2	Embryophyta	0
Spirometra_erinaceieuropaei	99802	GCA_902702965.1	Platyhelminthes	0
Spizaetus_tyrannus	252798	GCA_013399215.1	Aves	0
Spizella_passerina	40210	GCA_013401375.1	Aves	0
Spodoptera_exigua	7107	GCA_902829305.4	Lepidoptera	0
Spodoptera_frugiperda	7108	GCF_023101765.2	Lepidoptera	0
Spodoptera_littoralis	7109	GCA_902850265.1	Lepidoptera	0
Spodoptera_litura	69820	GCF_002706865.2	Lepidoptera	0
Steatornis_caripensis	48435	GCA_013398225.1	Aves	0
Stegastes_partitus	144197	GCF_000690725.1	Teleostei	0
Stegodyphus_dumicola	202533	GCF_010614865.1	Arachnida	50
Stegodyphus_mimosarum	407821	GCA_000611955.2	Arachnida	0
Stegostoma_fasciatum	378071	GCF_022316705.1	Chondrichthyes	24
Steinernema_carpocapsae	34508	GCA_000757645.3	Nematoda	50
Stercorarius_parasiticus	54059	GCA_013396915.1	Aves	0
Sterrhoptilus_dennistouni	2585820	GCA_013397095.1	Aves	0
Stomoxys_calcitrans	35570	GCF_001015335.1	Diptera	0
Striga_asiatica	4170	GCA_008636005.1	Embryophyta	8
Strigops_habroptila	2489341	GCF_004027225.2	Aves	5
Strongylocentrotus_purpuratus	7668	GCF_000002235.5	Echinodermata	0
Strongyloides_ratti	34506	GCF_001040885.1	Nematoda	0
Strongylus_vulgaris	40348	GCA_900624965.1	Nematoda	0
Struthidea_cinerea	181839	GCA_013397865.1	Aves	0
Struthio_camelus	8801	GCF_000698965.1	Aves	30
Sturnira_hondurensis	192404	GCF_014824575.2	Mammalia	0
Sturnus_vulgaris	9172	GCF_001447265.1	Aves	7
Styela_clava	7725	GCF_013122585.1	Invertebrates	22
Stylophora_pistillata	50429	GCF_002571385.1	Cnidaria	50
Sula_dactylatra	56068	GCA_013389905.1	Aves	0
Suncus_etruscus	109475	GCF_024139225.1	Mammalia	0
Suricata_suricatta	37032	GCF_006229205.1	Mammalia	21
Sus_scrofa	9823	GCF_000003025.6	Mammalia	55
Sylvietta_virens	208069	GCA_013399515.1	Aves	0
Symphalangus_syndactylus	9590	GCF_028878055.1	Mammalia	0
Synchiropus_splendidus	270530	GCF_027744825.2	Teleostei	0
Syngnathus_acus	161584	GCF_901709675.1	Teleostei	0
Syngnathus_scovelli	161590	GCF_024217435.1	Teleostei	0
Syrrhaptes_paradoxus	302527	GCA_013400615.1	Aves	0
Tachuris_rubrigastra	495162	GCA_013396555.1	Aves	0
Tachyglossus_aculeatus	9261	GCF_015852505.1	Mammalia	0
Tachysurus_fulvidraco	1234273	GCF_022655615.1	Teleostei	50
Taeniopygia_guttata	59729	GCF_003957565.2	Aves	0
Takifugu_bimaculatus	433685	GCA_004026145.2	Teleostei	0
Takifugu_flavidus	433684	GCA_003711565.2	Teleostei	10
Takifugu_rubripes	31033	GCF_901000725.2	Teleostei	0
Talpa_occidentalis	50954	GCF_014898055.1	Mammalia	19
Tarenaya_hassleriana	28532	GCF_000463585.1	Embryophyta	50
Tauraco_erythrolophus	121530	GCF_000709365.1	Aves	0
Tegillarca_granosa	220873	GCA_029721355.1	Mollusca	0
Teladorsagia_circumcincta	45464	GCA_002352805.1	Nematoda	32
Teleogryllus_occipitalis	470939	GCA_011170035.1	Invertebrates	0
Teleopsis_dalmanni	139649	GCF_002237135.1	Diptera	0
Temnothorax_curvispinosus	300111	GCF_003070985.1	Hymenoptera	0
Temnothorax_longispinosus	300112	GCA_004794745.1	Hymenoptera	0
Tenebrio_molitor	7067	GCA_907166875.3	Coleoptera	0
Terrapene_carolina	158814	GCF_002925995.2	Testudines	1
Tetracentron_sinense	13715	GCA_015143295.1	Embryophyta	18
Tetranychus_urticae	32264	GCF_000239435.1	Arachnida	43
Tetraodon_nigroviridis	99883	GCA_000180735.1	Teleostei	0
Thalassarche_chlororhynchos	54017	GCA_013400895.1	Aves	0
Thalassophryne_amazonica	390379	GCF_902500255.1	Teleostei	0
Thamnophis_elegans	35005	GCF_009769535.1	Lepidosauria	33
Thamnophis_sirtalis	35019	GCF_001077635.1	Lepidosauria	9
Thelazia_callipaeda	103827	GCA_900618365.1	Nematoda	0
Thelohanellus_kitauei	669202	GCA_000827895.1	Cnidaria	3
Theropithecus_gelada	9565	GCF_003255815.1	Mammalia	0
Thinocorus_orbignyianus	161742	GCA_013400375.1	Aves	0
Thrips_palmi	161013	GCF_012932325.1	Thysanoptera	22
Thryothorus_ludovicianus	74200	GCA_013397245.1	Aves	0
Thunnus_albacares	8236	GCF_914725855.1	Teleostei	0
Thunnus_maccoyii	8240	GCF_910596095.1	Teleostei	0
Tichodroma_muraria	237442	GCA_013390105.1	Aves	0
Tigriopus_californicus	6832	GCA_007210705.1	Crustacea	0
Timema_podura	61482	GCA_905359515.1	Invertebrates	32
Tinamus_guttatus	94827	GCF_000705375.1	Aves	0
Todus_mexicanus	135184	GCA_013389965.1	Aves	0
Tokudaia_osimensis	73109	GCA_027943515.1	Mammalia	0
Toxocara_canis	6265	GCA_000803305.1	Nematoda	0
Toxostoma_redivivum	99882	GCA_013397375.1	Aves	0
Toxotes_jaculatrix	941984	GCF_017976425.1	Teleostei	0
Trachemys_scripta	34903	GCF_013100865.1	Testudines	50
Trachymyrmex_cornetzi	471704	GCF_001594075.2	Hymenoptera	0
Trachymyrmex_septentrionalis	34720	GCF_001594115.1	Hymenoptera	0
Trachymyrmex_zeteki	64791	GCF_001594055.1	Hymenoptera	0
Trachypithecus_francoisi	54180	GCF_009764315.1	Mammalia	0
Trema_orientale	63057	GCA_002914845.1	Embryophyta	5
Trematomus_bernacchii	40690	GCF_902827165.1	Teleostei	0
Tribolium_castaneum	7070	GCF_000002335.3	Coleoptera	14
Tribolium_madens	41895	GCF_015345945.1	Coleoptera	0
Trichechus_manatus	9778	GCF_000243295.1	Mammalia	11
Trichinella_britovi	45882	GCA_001447585.1	Nematoda	0
Trichinella_nativa	6335	GCA_001447565.2	Nematoda	0
Trichinella_nelsoni	6336	GCA_001447455.1	Nematoda	0
Trichinella_papuae	268474	GCA_001447755.1	Nematoda	4
Trichinella_patagoniensis	990121	GCA_001447655.1	Nematoda	5
Trichinella_pseudospiralis	6337	GCA_001447645.1	Nematoda	0
Trichinella_spiralis	6334	GCF_000181795.1	Nematoda	0
Trichinella_zimbabwensis	268475	GCA_001447665.1	Nematoda	0
Trichobilharzia_regenti	157069	GCA_944472135.2	Platyhelminthes	0
Trichobilharzia_szidati	157070	GCA_944472155.1	Platyhelminthes	8
Trichogramma_brassicae	86971	GCA_902806795.1	Hymenoptera	0
Trichogramma_pretiosum	7493	GCF_000599845.2	Hymenoptera	4
Tricholaema_leucomelas	240729	GCA_013400475.1	Aves	0
Trichonephila_clavata	2740835	GCA_019973975.1	Arachnida	16
Trichonephila_clavipes	2585209	GCA_002102615.1	Arachnida	22
Trichonephila_inaurata	2747482	GCA_019973955.1	Arachnida	0
Trichoplax_adhaerens	10228	GCF_000150275.1	Invertebrates	0
Trichoplusia_ni	7111	GCF_003590095.1	Lepidoptera	0
Trichosurus_vulpecula	9337	GCF_011100635.1	Mammalia	0
Trichuris_suis	68888	GCA_000797535.1	Nematoda	25
Trichuris_trichiura	36087	GCA_000613005.1	Nematoda	0
Trinorchestia_longiramus	1923959	GCA_006783055.1	Crustacea	2
Triplophysa_rosa	992332	GCA_024868665.1	Teleostei	0
Triplophysa_tibetana	1572043	GCA_008369825.1	Teleostei	0
Trogon_melanurus	56311	GCA_013399275.1	Aves	0
Tropilaelaps_mercedesae	418985	GCA_002081605.1	Arachnida	0
Tupaia_chinensis	246437	GCF_000334495.1	Mammalia	0
Turdus_rufiventris	311356	GCA_013186435.1	Aves	0
Turnix_velox	2529409	GCA_013400935.1	Aves	0
Tursiops_truncatus	9739	GCF_011762595.1	Mammalia	50
Tuta_absoluta	702717	GCA_027580185.1	Lepidoptera	32
Tympanuchus_pallidicinctus	109042	GCF_026119805.1	Aves	0
Tyrannus_savana	137541	GCA_013399735.1	Aves	0
Tyto_alba	56313	GCF_902150015.1	Aves	6
Uloborus_diversus	327109	GCF_026930045.1	Arachnida	0
Upupa_epops	57439	GCA_013397515.1	Aves	0
Uria_aalge	13746	GCA_013401055.1	Aves	0
Urocitellus_parryii	9999	GCF_003426925.1	Mammalia	0
Urocolius_indicus	458196	GCA_013401255.1	Aves	0
Urocynchramus_pylzowi	571890	GCA_013397555.1	Aves	0
Ursus_americanus	9643	GCF_020975775.1	Mammalia	0
Ursus_arctos	9644	GCF_023065955.1	Mammalia	45
Ursus_maritimus	29073	GCF_017311325.1	Mammalia	0
Vanessa_atalanta	42275	GCF_905147765.1	Lepidoptera	0
Vanessa_cardui	171605	GCF_905220365.1	Lepidoptera	0
Vanessa_tameamea	334116	GCF_002938995.1	Lepidoptera	0
Vanilla_planifolia	51239	GCA_016413895.1	Embryophyta	44
Varanus_komodoensis	61221	GCA_004798865.1	Lepidosauria	7
Varroa_destructor	109461	GCF_002443255.1	Arachnida	50
Varroa_jacobsoni	62625	GCF_002532875.1	Arachnida	0
Venturia_canescens	32260	GCF_019457755.1	Hymenoptera	0
Vespa_crabro	7445	GCF_910589235.1	Hymenoptera	0
Vespa_mandarinia	7446	GCF_014083535.2	Hymenoptera	0
Vespa_velutina	202808	GCF_912470025.1	Hymenoptera	0
Vespula_pensylvanica	30213	GCA_014466175.1	Hymenoptera	8
Vespula_vulgaris	7454	GCA_014466185.1	Hymenoptera	24
Vicugna_pacos	30538	GCF_000164845.3	Mammalia	20
Vidua_chalybeata	81927	GCF_026979565.1	Aves	0
Vidua_macroura	187451	GCF_024509145.1	Aves	0
Vigna_angularis	3914	GCF_001190045.1	Embryophyta	50
Vigna_radiata	157791	GCF_000741045.1	Embryophyta	50
Vigna_unguiculata	3917	GCF_004118075.1	Embryophyta	50
Vireo_altiloquus	34956	GCA_013396875.1	Aves	0
Vitis_vinifera	29760	GCF_000003745.3	Embryophyta	36
Vollenhovia_emeryi	411798	GCF_000949405.1	Hymenoptera	0
Vombatus_ursinus	29139	GCF_900497805.2	Mammalia	0
Vulpes_lagopus	494514	GCF_018345385.1	Mammalia	30
Vulpes_vulpes	9627	GCF_003160815.1	Mammalia	50
Wasmannia_auropunctata	64793	GCF_000956235.1	Hymenoptera	0
Xenopus_laevis	8355	GCF_001663975.1	Amphibia	36
Xenopus_tropicalis	8364	GCF_000004195.3	Amphibia	6
Xiphias_gladius	8245	GCF_016859285.1	Teleostei	0
Xiphophorus_couchianus	32473	GCF_001444195.1	Teleostei	0
Xiphophorus_hellerii	8084	GCF_003331165.1	Teleostei	0
Xiphophorus_maculatus	8083	GCF_002775205.1	Teleostei	0
Xiphorhynchus_elegans	269412	GCA_013401175.1	Aves	0
Xyrauchen_texanus	154827	GCF_025860055.1	Teleostei	0
Zalophus_californianus	9704	GCF_009762305.2	Mammalia	0
Zapornia_atra	2585822	GCA_013400835.1	Aves	0
Zaprionus_bogoriensis	309927	GCA_021223985.1	Diptera	0
Zea_mays	4577	GCF_902167145.1	Embryophyta	47
Zerene_cesonia	33412	GCF_012273895.1	Lepidoptera	24
Zeugodacus_cucurbitae	28588	GCF_028554725.1	Diptera	0
Ziziphus_jujuba	326968	GCF_000826755.1	Embryophyta	50
Zonotrichia_albicollis	44394	GCF_000385455.1	Aves	50
Zootermopsis_nevadensis	136037	GCF_000696155.1	Blattodea	53
Zootoca_vivipara	8524	GCF_011800845.1	Lepidosauria	5
Zophobas_morio	2755281	GCA_027724725.1	Coleoptera	0
Zosterops_borbonicus	364589	GCA_007252995.1	Aves	0
Zosterops_hypoxanthus	2485327	GCA_013399795.1	Aves	0
