species	clade	NCBI.taxid	clade_dnds
Physeter_catodon	Mammalia	9755	Mammalia
Tupaia_chinensis	Mammalia	246437	Mammalia
Caretta_caretta	Testudines	8467	Other Vertebrates
Oryzias_melastigma	Teleostei	30732	Teleostei
Stegodyphus_mimosarum	Arachnida	407821	Other Invertebrates
Episyrphus_balteatus	Diptera	286459	Mecopterida
Parus_major	Aves	9157	Aves
Agrilus_planipennis	Coleoptera	224129	Other Insecta
Coregonus_clupeaformis	Teleostei	59861	Teleostei
Helicoverpa_zea	Lepidoptera	7113	Mecopterida
Microplitis_demolitor	Hymenoptera	69319	Hymenoptera
Anoplopoma_fimbria	Teleostei	229290	Teleostei
Nannospalax_galili	Mammalia	1026970	Mammalia
Copidosoma_floridanum	Hymenoptera	29053	Hymenoptera
Megalopta_genalis	Hymenoptera	115081	Hymenoptera
Scyliorhinus_torazame	Chondrichthyes	75743	Other Vertebrates
Labeo_rohita	Teleostei	84645	Teleostei
Plakobranchus_ocellatus	Mollusca	259542	Other Invertebrates
Spodoptera_littoralis	Lepidoptera	7109	Mecopterida
Ictalurus_furcatus	Teleostei	66913	Teleostei
Seriola_dumerili	Teleostei	41447	Teleostei
Symphalangus_syndactylus	Mammalia	9590	Mammalia
Branchiostoma_lanceolatum	Cephalochordata	7740	Other Invertebrates
Anhinga_rufa	Aves	317792	Aves
Chiloscyllium_punctatum	Chondrichthyes	137246	Other Vertebrates
Mauremys_reevesii	Testudines	260615	Other Vertebrates
Eriocheir_sinensis	Crustacea	95602	Other Invertebrates
Crassostrea_angulata	Mollusca	558553	Other Invertebrates
Bugula_neritina	Invertebrates	10212	Other Invertebrates
Tigriopus_californicus	Crustacea	6832	Other Invertebrates
Branchiostoma_belcheri	Cephalochordata	7741	Other Invertebrates
Salvelinus_fontinalis	Teleostei	8038	Teleostei
Anopheles_sinensis	Diptera	74873	Mecopterida
